"Municipality_ID","Municipality","Population","Population_Total","Percentage"
14001,"Acatic",1202,4143,29.01279266232199
14002,"Acatlán de Juárez",1454,3924,37.05402650356779
14003,"Ahualulco de Mercado",1682,3694,45.53329723876556
14004,"Amacueca",290,814,35.62653562653563
14005,"Amatitán",1308,2979,43.90735146022155
14006,"Ameca",4112,9580,42.92275574112735
14007,"San Juanito de Escobedo",772,1610,47.95031055900621
14008,"Arandas",5293,14659,36.10751074425268
14009,"El Arenal",1542,3824,40.32426778242677
14010,"Atemajac de Brizuela",389,1406,27.667140825035563
14011,"Atengo",340,826,41.162227602905574
14012,"Atenguillo",245,581,42.168674698795186
14013,"Atotonilco el Alto",3499,10157,34.44914837058187
14014,"Atoyac",506,1341,37.733035048471294
14015,"Autlán de Navarro",5427,11361,47.76868233430156
14016,"Ayotlán",2150,6966,30.864197530864196
14017,"Ayutla",618,1905,32.44094488188976
14018,"La Barca",4165,11182,37.24736183151494
14019,"Bolaños",439,1238,35.46042003231018
14020,"Cabo Corrientes",565,1576,35.8502538071066
14021,"Casimiro Castillo",1202,3033,39.63072865150016
14022,"Cihuatlán",2574,6742,38.17858202313854
14023,"Zapotlán el Grande",12009,20587,58.33292854714141
14024,"Cocula",1898,4391,43.224777954907765
14025,"Colotlán",2185,3914,55.8252427184466
14026,"Concepción de Buenos Aires",338,999,33.83383383383383
14027,"Cuautitlán de García Barragán",1244,3000,41.46666666666667
14028,"Cuautla",108,271,39.85239852398524
14029,"Cuquío",925,2754,33.58750907770516
14030,"Chapala",3296,8968,36.7528991971454
14031,"Chimaltitán",161,441,36.507936507936506
14032,"Chiquilistlán",281,1002,28.043912175648707
14033,"Degollado",758,3033,24.991757335970984
14034,"Ejutla",93,231,40.25974025974026
14035,"Encarnación de Díaz",2654,8423,31.50896355217856
14036,"Etzatlán",1554,3464,44.86143187066974
14037,"El Grullo",1419,3833,37.02061048786851
14038,"Guachinango",208,578,35.98615916955018
14039,"Guadalajara",117587,229214,51.30009510762867
14040,"Hostotipaquillo",482,1436,33.56545961002785
14041,"Huejúcar",394,842,46.79334916864608
14042,"Huejuquilla el Alto",587,1603,36.618839675608235
14043,"La Huerta",1185,3298,35.93086719223772
14044,"Ixtlahuacán de los Membrillos",4194,11857,35.371510500126504
14045,"Ixtlahuacán del Río",1208,3173,38.0712259691144
14046,"Jalostotitlán",1530,5479,27.924803796313196
14047,"Jamay",1677,4396,38.14831665150136
14048,"Jesús María",691,3241,21.320580067880286
14049,"Jilotlán de los Dolores",314,1148,27.35191637630662
14050,"Jocotepec",2393,8410,28.45422116527943
14051,"Juanacatlán",1967,5190,37.89980732177264
14052,"Juchitlán",316,853,37.045720984759676
14053,"Lagos de Moreno",10068,29232,34.441707717569784
14054,"El Limón",311,673,46.210995542347696
14055,"Magdalena",1589,3694,43.01570113697888
14056,"Santa María del Oro",113,315,35.87301587301587
14057,"La Manzanilla de la Paz",188,643,29.237947122861584
14058,"Mascota",810,2195,36.90205011389522
14059,"Mazamitla",711,2248,31.62811387900356
14060,"Mexticacán",215,631,34.0729001584786
14061,"Mezquitic",1054,3683,28.617974477328268
14062,"Mixtlán",190,535,35.51401869158878
14063,"Ocotlán",8788,18955,46.36243735162226
14064,"Ojuelos de Jalisco",1367,5957,22.947792513009905
14065,"Pihuamo",550,1628,33.78378378378378
14066,"Poncitlán",2933,9786,29.971387696709584
14067,"Puerto Vallarta",21725,51447,42.22792388283088
14068,"Villa Purificación",530,1623,32.65557609365373
14069,"Quitupan",199,1148,17.334494773519165
14070,"El Salto",13481,41545,32.44915152244554
14071,"San Cristóbal de la Barranca",119,405,29.38271604938272
14072,"San Diego de Alejandría",379,1247,30.392943063352046
14073,"San Juan de los Lagos",3972,12622,31.468863888448737
