"Municipality_ID","Municipality","Clinics","Beds","Establishments","Population","Bed_Average","Health_Center_Average"
14001,"Acatic",14,10,8,,1.25,1.75
14002,"Acatlán de Juárez",8,0,5,,0,1.6
14003,"Ahualulco de Mercado",15,9,8,,1.125,1.875
14004,"Amacueca",6,8,3,,2.6666666666666665,2
14005,"Amatitán",11,8,6,,1.3333333333333333,1.8333333333333333
14006,"Ameca",53,44,28,,1.5714285714285714,1.8928571428571428
14007,"San Juanito de Escobedo",9,9,6,,1.5,1.5
14008,"Arandas",59,111,21,,5.285714285714286,2.8095238095238093
14009,"El Arenal",20,12,9,,1.3333333333333333,2.2222222222222223
14010,"Atemajac de Brizuela",3,6,3,,2,1
14011,"Atengo",4,1,3,,0.3333333333333333,1.3333333333333333
14012,"Atenguillo",7,5,5,,1,1.4
14013,"Atotonilco el Alto",49,70,20,,3.5,2.45
14014,"Atoyac",5,6,6,,1,0.8333333333333334
14015,"Autlán de Navarro",82,99,27,,3.6666666666666665,3.037037037037037
14016,"Ayotlán",14,6,10,,0.6,1.4
14017,"Ayutla",14,7,12,,0.5833333333333334,1.1666666666666667
14018,"La Barca",58,144,29,,4.9655172413793105,2
14019,"Bolaños",10,27,14,,1.9285714285714286,0.7142857142857143
14020,"Cabo Corrientes",9,1,9,,0.1111111111111111,1
14021,"Casimiro Castillo",22,19,9,,2.111111111111111,2.4444444444444446
14022,"Cihuatlán",35,47,14,,3.357142857142857,2.5
14023,"Zapotlán el Grande",113,243,33,,7.363636363636363,3.4242424242424243
14024,"Cocula",23,46,12,,3.8333333333333335,1.9166666666666667
14025,"Colotlán",33,62,19,,3.263157894736842,1.736842105263158
14026,"Concepción de Buenos Aires",4,3,2,,1.5,2
14027,"Cuautitlán de García Barragán",20,17,16,,1.0625,1.25
14028,"Cuautla",2,2,3,,0.6666666666666666,0.6666666666666666
14029,"Cuquío",12,7,10,,0.7,1.2
14030,"Chapala",45,53,18,,2.9444444444444446,2.5
14031,"Chimaltitán",8,7,7,,1,1.1428571428571428
14032,"Chiquilistlán",4,4,4,,1,1
14033,"Degollado",13,13,8,,1.625,1.625
14034,"Ejutla",3,1,2,,0.5,1.5
14035,"Encarnación de Díaz",27,22,15,,1.4666666666666666,1.8
14036,"Etzatlán",8,3,5,,0.6,1.6
14037,"El Grullo",24,41,9,,4.555555555555555,2.6666666666666665
14038,"Guachinango",4,4,5,,0.8,0.8
14039,"Guadalajara",2139,5631,358,,15.72905027932961,5.9748603351955305
14040,"Hostotipaquillo",6,9,6,,1.5,1
14041,"Huejúcar",18,22,9,,2.4444444444444446,2
14042,"Huejuquilla el Alto",17,36,8,,4.5,2.125
14043,"La Huerta",28,24,19,,1.263157894736842,1.4736842105263157
14044,"Ixtlahuacán de los Membrillos",23,0,14,,0,1.6428571428571428
14045,"Ixtlahuacán del Río",12,18,11,,1.6363636363636365,1.0909090909090908
14046,"Jalostotitlán",14,29,9,,3.2222222222222223,1.5555555555555556
14047,"Jamay",12,8,7,,1.1428571428571428,1.7142857142857142
